,cm_cd
9,00000HUF
12,00001JPR
13,00001OMM
16,00002JPR
17,00002OOM
18,00003JPR
19,00004JPR
20,00005JPR
21,00006JPR
22,00007JPR
23,00008JPR
24,00009JPR
25,0000AAAA
26,0000HARI
27,00010JPR
31,00014JPR
32,00015JPR
33,00016JPR
34,00017JPR
35,0001ALOK
36,0001AMIT
37,0001ARYA
41,0001RANU
42,0001SNSM
43,00020JPR
44,00022JPR
46,00023471
47,00023JPR
48,00024JPR
49,00025JPR
50,00026JPR
51,00027JPR
52,00028JPR
53,00030JPR
54,00032JPR
55,00033JPR
62,00040JPR
63,00041JPR
64,00042JPR
65,00043JPR
66,00044JPR
67,00045JPR
68,00047JPR
69,00048JPR
72,00051JPR
73,00052JPR
74,00053JPR
75,00054JPR
76,00055JPR
80,0005SNSM
82,00061JPR
83,00062JPR
85,00063JPR
86,00064JPR
89,00068JPR
91,00070JPR
92,00071JPR
93,00074JPR
96,00077JPR
98,00078JPR
101,0007AMIT
103,0007BAIG
105,0007BOND
107,00080JPR
108,00081JPR
109,00082JPR
111,00084JPR
112,00085JPR
114,00087JPR
115,00089JPR
117,00091JPR
118,00092JPR
119,00094JPR
120,00097JPR
121,000ANAND
122,000ASHOK
124,000DIPAK
127,000GUPTA
128,000INDRA
129,000JACOB
131,000KANIL
132,000KRISH
133,000KUMAR
134,000MANJU
136,000MNO3I
137,000PRIYA
139,000RAV77
140,000REDDY
141,000SATYA
142,000SUDHA
143,000VIJAY
145,00100JPR
146,00101JPR
147,00102JPR
149,00103JPR
151,00105JPR
154,00109JPR
155,00111JPR
156,00113JPR
158,0011ANIL
159,00124JPR
160,00131JPR
162,00133500
163,00140JPR
164,00152JPR
165,00157JPR
166,00161JPR
167,00170JPR
169,00175JPR
170,00176JPR
171,00178JPR
172,00181JPR
174,00190314
175,00191JPR
176,00197JPR
177,00198JPR
178,001ABDSH
180,001AKASH
183,001AMITS
185,001ANILK
187,001ANKAJ
190,001BIMLA
195,001DHARM
197,001FARUK
199,001GAURA
201,001GUPTA
202,001IIDAP
203,001IIDBM
204,001IIDRK
205,001IIDSK
206,001IIDSR
207,001IIGBM
209,001IIGRS
210,001IIGSY
212,001IINBM
214,001INDER
215,001JANVI
216,001KAMAL
219,001KUMAR
221,001LUCKY
222,001MADAN
224,001MANIS
230,001PRAVE
231,001PRINC
232,001PRIYA
236,001RAJEE
238,001RAJES
241,001RAKES
242,001RAMAN
244,001REDDY
246,001RITUG
247,001RRUBY
249,001SACHI
251,001SADIQ
252,001SAINI
254,001SARLA
256,001SARMA
257,001SATYA
261,001SAVRA
262,001SGMNR
264,001SHYJU
266,001SUDIP
268,001SUNIL
269,001TANYA
271,001TARUN
272,001TINKU
275,001VIPUL
277,001VIVEK
278,001VLEAF
280,001YOGES
281,00201JPR
282,00202JPR
283,00203JPR
284,00210JPR
285,00211JPR
287,00213JPR
290,00217JPR
292,00219JPR
293,00220JPR
294,00221JPR
295,00222JPR
296,00222RAJ
298,00223JPR
299,00224JPR
301,00225JPR
302,00226JPR
303,00229JPR
305,00231JPR
306,00232JPR
307,00233JPR
310,00243JPR
313,00249JPR
314,00250JPR
315,00251JPR
317,00253JPR
320,00255JPR
321,00267JPR
323,002EZAZS
324,002GOPAL
325,002IIDAP
326,002IIDBM
327,002IIDRK
329,002IIGBM
330,002IIGRP
331,002IIGRR
332,002IIGRS
333,002IIGSY
336,002IINAG
337,002IINSS
338,002INDER
339,002JITSI
340,002PATEL
341,002SGMNR
342,002SINGH
343,002VERMA
