,target
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,0
10,0
11,1
12,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
38,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
74,0
75,1
76,0
78,0
79,0
80,1
81,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
104,0
106,0
109,0
110,0
111,0
112,0
113,0
115,0
116,0
117,1
118,0
119,1
120,1
122,1
124,0
126,0
127,0
128,1
129,0
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,0
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,0
155,1
156,1
158,0
159,1
161,1
162,0
163,0
164,1
166,1
167,0
168,1
169,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,0
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
195,1
197,1
198,1
199,0
200,1
202,0
204,1
205,1
206,1
207,0
209,0
210,0
212,0
213,0
214,0
216,0
218,0
219,1
221,1
222,1
223,0
224,1
225,1
227,1
229,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,0
260,0
262,1
263,0
265,1
266,1
267,1
268,0
269,1
271,1
272,1
274,0
275,1
276,1
277,1
278,0
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
296,0
297,1
298,0
299,0
300,0
301,1
302,0
304,1
305,0
306,1
307,1
308,1
309,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
321,1
322,1
323,0
324,1
326,0
327,1
328,1
330,1
331,0
334,1
335,1
336,1
337,1
338,1
339,0
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,1
351,0
352,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,1
363,0
364,1
365,1
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
381,0
382,1
383,1
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,1
431,0
433,1
434,1
436,1
437,1
440,1
442,1
443,0
445,0
446,1
447,1
448,1
450,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,0
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,0
474,0
478,1
479,1
480,1
481,1
483,0
484,0
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,1
