iter	Passed	Remaining
0	201	9865
1	241	5789
2	282	4421
3	320	3688
4	385	3468
5	456	3347
6	520	3196
7	562	2954
8	634	2888
9	674	2696
10	709	2516
11	744	2356
12	776	2210
13	830	2134
14	885	2065
15	920	1957
16	973	1889
17	1015	1806
18	1055	1721
19	1123	1685
20	1178	1628
21	1222	1556
22	1267	1488
23	1325	1435
24	1362	1362
25	1405	1297
26	1461	1245
27	1503	1181
28	1557	1128
29	1593	1062
30	1630	999
31	1683	946
32	1720	886
33	1754	825
34	1805	773
35	1852	720
36	1885	662
37	1929	609
38	1961	553
39	2022	505
40	2057	451
41	2092	398
42	2125	346
43	2158	294
44	2211	245
45	2248	195
46	2284	145
47	2319	96
48	2355	48
49	2391	0
