,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
0,11154521,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
7,10676783,<=1L,P,CAT,0,N,23.0,132.0,1.0408812473421387,0.0,0.0,1.0
66,10001723,<=1L,S,CAT,0,N,22.0,132.0,2.125092422109588,0.0,0.0,1.0
95,11841393,5_10L,P,CAT,0,N,44.0,132.0,132.0,0.0,0.0,0.0
109,10657727,5_10L,S,CAT,0,N,35.0,132.0,1.2708654359291731,0.0,0.0,1.0
117,11055132,<=1L,P,CAT,0,N,20.0,5.969113859921452,132.0,0.0,1.0,0.0
128,10937111,<=1L,S,CAT,0,Y,23.0,2.223657074361174,2.617915683367519,0.0,13.0,2.0
151,11037267,<=1L,S,CAT,0,Y,23.0,1.9279631176064151,1.9279631176064151,0.0,9.0,2.0
152,11551168,<=1L,P,CAT,0,N,21.0,7.053325034688902,2.0922375380257257,31.0,23.0,1.0
179,10945095,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
186,11379642,<=1L,P,CAT,0,N,20.0,11.160185545171665,132.0,0.0,22.0,0.0
197,11179860,<=1L,S,CAT,0,Y,18.0,0.8766068269228283,1.2051556677614492,0.0,10.0,1.0
216,10615161,5_10L,P,CAT,0,Y,41.0,132.0,132.0,0.0,0.0,0.0
217,12614022,5_10L,P,CAT,0,N,23.0,14.675658142144906,132.0,0.0,0.0,0.0
220,12349692,<=1L,P,CAT,0,N,35.0,11.061620892920075,132.0,0.0,7.0,0.0
224,10548468,5_10L,P,CAT,0,Y,30.0,7.381873875527522,132.0,0.0,1.0,0.0
235,10615046,5_10L,P,CAT,0,N,32.0,0.6794775224196558,132.0,0.0,2.0,0.0
250,10264604,<=1L,S,CAT,0,N,24.0,1.1723007836775872,1.1723007836775872,0.0,3.0,1.0
256,10835807,<=1L,S,CAT,0,Y,36.0,2.880754756038416,2.880754756038416,0.0,5.0,1.0
260,12022018,1_5L,S,CAT,0,Y,33.0,4.52349896023152,132.0,0.0,52.0,0.0
262,10751656,5_10L,S,CAT,0,N,23.0,1.4022849722646218,1.467994740432346,0.0,10.0,2.0
274,1111NNNN,<=1L,S,CAT,0,N,28.0,1.6979789290193803,19.242487029801737,0.0,19.0,0.0
278,10163938,1_5L,S,CAT,0,N,23.0,132.0,2.0922375380257257,0.0,0.0,1.0
284,11259095,<=1L,P,GL Investments,0,N,24.0,3.833546394470417,132.0,0.0,17.0,0.0
289,12061997,<=1L,ST,CAT,0,N,24.0,2.3222217266127605,7.710422716366144,18.0,91.0,2.0
305,10361557,<=1L,S,CAT,0,N,23.0,132.0,0.9751714791744146,0.0,0.0,1.0
329,10970699,5_10L,S,CAT,0,N,20.0,3.86640127855428,4.98346733740559,0.0,3.0,2.0
369,10476843,<=1L,S,CAT,0,Y,22.0,0.6137677542519315,2.0922375380257257,0.0,61.0,2.0
389,10450603,5_10L,S,CAT,0,N,21.0,0.8766068269228283,1.0737361314260008,0.0,22.0,1.0
396,10615274,<=1L,P,CAT,0,N,29.0,132.0,132.0,0.0,0.0,0.0
400,11074876,<=1L,S,CAT,0,N,25.0,2.1579473061934498,2.223657074361174,0.0,17.0,1.0
428,10625883,5_10L,P,CAT,0,N,28.0,1.4351398563484838,132.0,0.0,279.0,0.0
439,11890160,5_10L,P,CAT,0,N,28.0,132.0,132.0,0.0,0.0,0.0
444,10014560,<=1L,P,CAT,0,N,19.0,6.199098048508487,132.0,0.0,8.0,0.0
446,11085074,<=1L,S,CAT,0,N,24.0,1.500849624516208,1.467994740432346,0.0,1.0,1.0
470,11021992,5_10L,P,CAT,0,Y,29.0,132.0,132.0,0.0,0.0,0.0
480,12340015,5_10L,P,CAT,0,N,25.0,1.0408812473421387,1.0737361314260008,0.0,297.0,110.0
488,11806838,5_10L,P,CAT,0,N,30.0,2.815044987870692,132.0,0.0,3.0,0.0
534,11964737,5_10L,P,CAT,0,N,23.0,10.897346472500766,132.0,0.0,5.0,0.0
570,10375738,<=1L,S,CAT,0,N,23.0,132.0,1.1723007836775872,0.0,0.0,1.0
578,12557822,5_10L,P,CAT,0,N,37.0,132.0,132.0,0.0,0.0,0.0
589,12280934,5_10L,P,CAT,0,Y,19.0,132.0,1.0408812473421387,0.0,0.0,1.0
591,10164373,5_10L,P,CAT,0,N,27.0,9.68171576139787,132.0,0.0,1.0,0.0
604,10615330,5_10L,P,CAT,0,N,32.0,132.0,132.0,0.0,0.0,0.0
617,10657844,<=1L,S,CAT,0,N,37.0,2.683625451535243,2.617915683367519,0.0,19.0,1.0
673,10792157,5_10L,P,CAT,0,Y,30.0,1.500849624516208,1.53370450860007,0.0,192.0,3.0
677,10615221,5_10L,P,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
680,10281453,<=1L,S,CAT,0,Y,28.0,3.045029176457726,132.0,0.0,22.0,0.0
691,10615286,<=1L,P,CAT,0,N,32.0,132.0,132.0,0.0,0.0,0.0
693,10848182,5_10L,S,CAT,0,Y,23.0,4.98346733740559,5.114886873741038,0.0,9.0,2.0
716,10618949,5_10L,P,CAT,0,Y,20.0,132.0,132.0,0.0,0.0,0.0
718,10269520,<=1L,S,CAT,0,N,19.0,2.7821901037868297,132.0,0.0,7.0,0.0
753,10395960,<=1L,S,CAT,0,Y,20.0,1.3037203200130354,1.6651240449355185,0.0,6.0,1.0
778,1235BHAR,others,others,CAT,0,N,36.0,2.815044987870692,2.880754756038416,1099628.0,176.0,358.0
793,10165028,5_10L,S,CAT,0,Y,27.0,3.702126858134968,4.293514771644486,0.0,15.0,2.0
800,10615204,<=1L,P,CAT,0,N,25.0,5.804839439502142,132.0,0.0,64.0,0.0
846,12561398,5_10L,P,CAT,0,N,20.0,132.0,1.895108233522553,0.0,0.0,1.0
856,10228729,5_10L,P,CAT,0,Y,34.0,1.7636886971871049,1.7636886971871049,0.0,23.0,3.0
870,10081989,1_5L,S,CAT,0,N,32.0,4.162095235309037,5.180596641908762,0.0,173.0,6.0
871,10468719,5_10L,P,CAT,0,Y,35.0,5.673419903166693,132.0,0.0,95.0,0.0
872,1001VIKA,<=1L,S,CAT,0,N,22.0,132.0,1.2708654359291731,31.0,0.0,1.0
882,10615322,<=1L,P,CAT,0,N,21.0,132.0,1.0408812473421387,0.0,0.0,1.0
907,12415894,5_10L,P,CAT,0,Y,38.0,4.293514771644486,132.0,0.0,19.0,0.0
935,10652120,<=1L,S,CAT,0,N,24.0,1.9279631176064151,3.4721426695479334,0.0,22.0,2.0
940,11221102,<=1L,P,CAT,0,N,31.0,132.0,132.0,0.0,0.0,0.0
951,10094193,<=1L,S,CAT,0,Y,21.0,1.139445899593725,2.1579473061934498,0.0,48.0,2.0
969,1001SAGA,<=1L,S,CAT,0,N,25.0,1.467994740432346,5.574855250915108,0.0,89.0,8.0
